"barcode","gen","treatment","rep","day","area_above_reference_cm2","height_above_reference_cm","hue_circular_mean_degrees","replicate"
"Ea003AA114227",3,"C",114227,13,95.8771745152354,NA,89.1501301498443,1
"Ea003AA114228",3,"C",114228,13,98.4186149584488,30.5368421052632,88.3499603962982,2
"Ea003AA114229",3,"C",114229,13,127.830914127424,32.2421052631579,91.5310539643618,3
"Ea003AA114230",3,"C",114230,13,124.784376731302,NA,91.7414654337291,4
"Ea003AA114231",3,"C",114231,13,121.890914127424,36.9,90.8934892343307,5
"Ea003AA114232",3,"C",114232,13,114.133961218837,36.5052631578947,90.5360451945782,6
"Ea003BC114239",3,"N",114239,13,95.3461495844875,34.8789473684211,82.4492161203806,1
"Ea003BC114240",3,"N",114240,13,107.72027700831,35.7157894736842,81.7637174713421,2
"Ea003BC114241",3,"N",114241,13,98.4465373961219,37.2315789473684,82.0201498429861,3
"Ea003BC114242",3,"N",114242,13,104.728587257618,34.1052631578947,82.7943765597069,4
"Ea003BC114243",3,"N",114243,13,96.2885318559557,NA,81.8796585652009,5
"Ea003BC114244",3,"N",114244,13,105.172853185596,32.0210526315789,84.6904861887155,6
"Ea008AA114347",8,"C",114347,13,96.6001662049861,32.4473684210526,89.072548587001,1
"Ea008AA114348",8,"C",114348,13,113.728088642659,36.7578947368421,90.0507573897418,2
"Ea008AA114349",8,"C",114349,13,125.028698060942,38.4315789473684,89.9112838548917,3
"Ea008AA114350",8,"C",114350,13,109.691800554017,36.8684210526316,89.3193444539305,4
"Ea008AA114351",8,"C",114351,13,107.651468144044,38.9210526315789,90.4133306972225,5
"Ea008AA114352",8,"C",114352,13,99.2019390581717,36.6631578947368,89.3065421818646,6
"Ea008BC114359",8,"N",114359,13,80.1403878116343,31.8157894736842,83.3327965427474,1
"Ea008BC114360",8,"N",114360,13,74.9168975069252,29.8894736842105,81.3661198687986,2
"Ea008BC114361",8,"N",114361,13,98.5103601108033,35.321052631579,80.0720621352361,3
"Ea008BC114362",8,"N",114362,13,109.168753462604,37.7052631578947,81.1723747475741,4
"Ea008BC114363",8,"N",114363,13,96.0960664819945,37.0736842105263,82.6255349854733,5
"Ea008BC114364",8,"N",114364,13,99.6122991689751,34.0105263157895,82.4577004682877,6
"Ea013AA114467",13,"C",114467,13,90.247811634349,29.1947368421053,89.8418479608572,1
"Ea013AA114468",13,"C",114468,13,99.1595567867036,32.7947368421053,90.3695950332434,2
"Ea013AA114469",13,"C",114469,13,76.6017174515235,29.3052631578947,89.4987431916358,3
"Ea013AA114470",13,"C",114470,13,102.556620498615,33.0631578947368,90.7079459025219,4
"Ea013AA114471",13,"C",114471,13,89.9197229916897,33.0789473684211,90.3117030230481,5
"Ea013AA114472",13,"C",114472,13,93.9161218836565,29.7789473684211,89.806614602437,6
"Ea013BC114479",13,"N",114479,13,73.5586703601108,28.3736842105263,85.5116980677837,1
"Ea013BC114480",13,"N",114480,13,79.3101939058172,25.8631578947368,84.356402708142,2
"Ea013BC114481",13,"N",114481,13,67.1230470914127,25.7210526315789,84.7284102523237,3
"Ea013BC114482",13,"N",114482,13,67.942271468144,28.5315789473684,85.6610352534101,4
"Ea013BC114483",13,"N",114483,13,81.2483102493075,NA,85.4213268366253,5
"Ea013BC114484",13,"N",114484,13,58.3125207756233,24.9947368421053,87.2852046167627,6
"Ea018AA114587",18,"C",114587,13,101.490083102493,35.5105263157895,92.7968314880995,1
"Ea018AA114588",18,"C",114588,13,119.792742382271,36.1894736842105,93.4064342398754,2
"Ea018AA114589",18,"C",114589,13,98.4664819944598,NA,90.8815399881051,3
"Ea018AA114590",18,"C",114590,13,122.533628808864,NA,93.1224286180571,4
"Ea018AA114591",18,"C",114591,13,74.88,32.2894736842105,91.7771722252114,5
"Ea018AA114592",18,"C",114592,13,89.3807202216067,35.321052631579,90.6013594783858,6
"Ea018BC114599",18,"N",114599,13,85.7278670360111,34.5315789473684,81.1528283055718,1
"Ea018BC114600",18,"N",114600,13,72.9309141274238,NA,83.3327100516138,2
"Ea018BC114601",18,"N",114601,13,66.726648199446,NA,84.7029706957575,3
"Ea018BC114602",18,"N",114602,13,99.963324099723,NA,84.4682623425729,4
"Ea018BC114603",18,"N",114603,13,77.0783933518006,NA,83.3550856646136,5
"Ea018BC114604",18,"N",114604,13,80.6125761772853,NA,83.7809183330517,6
